jobID,agencyTitle,agencyID,jobTitle,salaryFrom,salaryTo
424963,DEPT OF YOUTH & COMM DEV SRVS,8,"Special Advisor to the Director, Neighborhood Development Areas (NDA) Initiative",80931,103000
425693,LAW DEPARTMENT,3,Clerical Associate Part Time,19.9179,22.9053
426527,DEPARTMENT OF CORRECTION,12,Payroll Analyst,50078,57590
427420,LAW DEPARTMENT,3,Facilities Building Custodian,35314,39905
427664,DEPT OF HEALTH/MENTAL HYGIENE,2,"Injury Epidemiologist, Bureau of Environmental Disease and Injury Prevention",75504,86830
429260,ADMIN FOR CHILDREN'S SVCS,5,Chaplain,51022,61439
430191,NYC HOUSING AUTHORITY,13,Structural Engineer,80557,111917
430551,ADMIN FOR CHILDREN'S SVCS,5,System Administrator,71707,85504
431209,DEPT OF HEALTH/MENTAL HYGIENE,2,"Public Health Advisor, Bureau of Public Health Clinics",25.8101,32.8889
432393,DEPARTMENT OF CORRECTION,12,EXTERMINATOR,34027,47967
433426,DEPT OF YOUTH & COMM DEV SRVS,8,Capacity Building Specialist,60193,83000
433632,OFFICE OF MANAGEMENT & BUDGET,14,Analyst  Technology Budget & Management,46856,70291
434073,DEPT OF YOUTH & COMM DEV SRVS,8,Cornerstone Program Director,54643,100000
435516,TECHNOLOGY & INNOVATION,15,Public Safety Change Manager,58700,110000
435593,DEPARTMENT OF CORRECTION,12,Policy Analyst,54100,62215
436199,NYC HOUSING AUTHORITY,13,CONSRUCTION FIELD SUPERVISOR,72063,122168
438843,LAW DEPARTMENT,3,Clerk (part time),19.9179,32.2677
439114,DEPT OF HEALTH/MENTAL HYGIENE,2,"Triage Supervisor, Bureau of Health Promotion of Justice Impacted Populations",73027,90000
439139,DEPARTMENT OF CORRECTION,12,Agency Attorney,71423,91563
439196,HUMAN RIGHTS COMMISSION,16,Human Rights Specialist (Infoline),49371,56777
439382,DEPT OF HEALTH/MENTAL HYGIENE,2,"Laboratory Microbiologist, Bureau of the Public Health Laboratory",52902,63000
439392,HRA/DEPT OF SOCIAL SERVICES,17,TIMEKEEPER,40017,48744
439609,DEPT OF YOUTH & COMM DEV SRVS,8,Program Manager,51132,78966
439675,NYC HOUSING AUTHORITY,13,PLUMBER'S HELPER,36.95,36.95
439867,DEPT OF YOUTH & COMM DEV SRVS,8,Program Manager,60193,80000
440244,NYC HOUSING AUTHORITY,13,Senior Writer,79620,110000
440441,DEPT OF HEALTH/MENTAL HYGIENE,2,Maintenance Worker,29.98,31.16
441296,ADMIN FOR CHILDREN'S SVCS,5,Applications Supervisor,81126,83346
442016,FINANCIAL INFO SVCS AGENCY,18,DISASTER RECOVERY ANALYST,75000,100000
442165,DEPT OF ENVIRONMENT PROTECTION,6,Stationary Engineer (Electric),501.92,501.92
442210,ADMIN FOR CHILDREN'S SVCS,5,Deputy Director of PD,64922,112278
442559,NYC HOUSING AUTHORITY,13,CARETAKER X (HA),30909,44930
443207,DEPT OF ENVIRONMENT PROTECTION,6,In-House EHS Officer,74650,109409
445946,DEPT OF ENVIRONMENT PROTECTION,6,Payment Analyst,51511,74878
450631,TECHNOLOGY & INNOVATION,15,"Manager, Data Center Operations",58700,125000
450708,DEPT OF HEALTH/MENTAL HYGIENE,2,"Associate Laboratory Microbiologist, Bureau of the Public Health Laboratory",71686,89640
451048,ADMIN FOR CHILDREN'S SVCS,5,BUDGET ANALYST,54100,65415
451443,NYC HOUSING AUTHORITY,13,Financial Liaison,56013,84862
451985,NYC HOUSING AUTHORITY,13,Senior Compliance Manager,120000,135000
452028,DEPARTMENT OF TRANSPORTATION,19,"Deputy Director of Support Services for Budget, Fiscal and Contract Administration",95000,115000
452914,ADMIN FOR CHILDREN'S SVCS,5,Child Protective Manager,58700,103048
455479,DEPT OF HEALTH/MENTAL HYGIENE,2,"Supervising Public Health Nurse, Bureau of School Health/SH Nursing Services & Prof Dev",79039,79039
455879,NYC HOUSING AUTHORITY,13,Press Secretary,37846,59848
455903,DEPARTMENT OF CORRECTION,12,Director of Legislative Affairs,83158,95632
457673,NYC HOUSING AUTHORITY,13,TECHNICIAN,15.45,19.33
457764,DEPT OF ENVIRONMENT PROTECTION,6,In-House EHS Officer,74650,109409
458064,NYC HOUSING AUTHORITY,13,Deputy Director Records Management,72038,192152
458373,ADMIN FOR CHILDREN'S SVCS,5,Executive Director of Operations,72038,127481
458945,NYC HOUSING AUTHORITY,13,Project Manager,105000,115000
459790,HRA/DEPT OF SOCIAL SERVICES,17,DIRECTOR,76270,98830
459876,HRA/DEPT OF SOCIAL SERVICES,17,"DIRECTOR, POLICY & AWARENESS",64922,130000
460355,DEPT OF ENVIRONMENT PROTECTION,6,ACCOUNTABLE MANAGER,90114,122168
460437,FINANCIAL INFO SVCS AGENCY,18,COLLEGE AIDE,16.02,19.3
460742,NYC HOUSING AUTHORITY,13,Environmental Compliance Analyst,57078,85646
460744,NYC HOUSING AUTHORITY,13,Environmental Inspector,72063,122168
460998,NYC HOUSING AUTHORITY,13,VICE-PRESIDENT FOR ENVIROMENTAL SERVICES,180000,185000
461506,DEPARTMENT OF TRANSPORTATION,19,Investigator,41483,66236
461956,DEPT OF ENVIRONMENT PROTECTION,6,Assistant Mechanical Engineer,57078,65640
462030,DEPARTMENT OF TRANSPORTATION,19,Parking Data Analyst,57078,85646
462399,DEPT OF ENVIRONMENT PROTECTION,6,Business Specialist,53057,77124
462494,DEPT OF ENVIRONMENT PROTECTION,6,INDUSTRIAL HYGIENIST II,56041,75318
462585,DEPARTMENT OF CORRECTION,12,Agency Attorney,83158,95632
462614,DEPARTMENT OF CORRECTION,12,Agency Attorney,71423,91563
462622,DEPARTMENT OF CORRECTION,12,Agency Attorney,63228,72712
462922,NYC HOUSING AUTHORITY,13,Supervisor Painter,47.76,47.76
463436,NYC HOUSING AUTHORITY,13,Chief Asset & Capital Management Officer (CACMO),165000,235600
463465,DEPT OF ENVIRONMENT PROTECTION,6,City Seasonal Aide,15.45,15.45
463468,DEPT OF ENVIRONMENT PROTECTION,6,Associate Park Service Worker,21.76,21.76
463528,HUMAN RIGHTS COMMISSION,16,Assistant Commissioner-Employment,58700,115000
463556,DEPT OF ENVIRONMENT PROTECTION,6,Construction Project Manager,31.2414,46.8779
463563,DEPT OF ENVIRONMENT PROTECTION,6,Industrial Hygienist,30.76,30.76
463846,DEPT OF ENVIRONMENT PROTECTION,6,Bureau Energy Manager,95000,108000
464235,DEPT OF ENVIRONMENT PROTECTION,6,Project Manager,49328,56727
464988,DEPT OF ENVIRONMENT PROTECTION,6,Program Analyst,65731,75591
465115,DEPARTMENT OF CORRECTION,12,Legal Coordinator,47418,54531
465164,DEPARTMENT OF CORRECTION,12,Legal Coordinator (Risk Management Accountability System),47418,54531
465314,DEPT OF ENVIRONMENT PROTECTION,6,Workforce Development Specialist,54100,62215
465384,ADMIN FOR CHILDREN'S SVCS,5,Operations Manager,58700,100521
465483,DEPT OF ENVIRONMENT PROTECTION,6,NYC M/WBE Program Compliance Specialist,50972,82730
465587,DEPT OF ENVIRONMENT PROTECTION,6,NYC M/WBE Program Compliance Specialist,58152,74479
465593,DEPT OF ENVIRONMENT PROTECTION,6,NYC M/WBE Program Compliance Specialist,65731,97873
465898,DEPARTMENT OF CORRECTION,12,Genetec System Administrator,75000,120000
465972,DEPT OF ENVIRONMENT PROTECTION,6,BLA Office Assistant,40017,62820
466040,DEPARTMENT OF CORRECTION,12,Project Manager,75504,86830
466099,OFFICE OF MANAGEMENT & BUDGET,14,Unit Head  Health and Hospitals (H+H) / Medicaid,98388,98388
466597,DEPARTMENT OF TRANSPORTATION,19,DVAP Coordinator,54100,83981
466860,DEPT OF ENVIRONMENT PROTECTION,6,PAYMENT SPECIALIST,50972,82730
466861,DEPT OF ENVIRONMENT PROTECTION,6,PAYMENT SPECIALIST,53057,77124
467000,DEPT OF ENVIRONMENT PROTECTION,6,Cyber Security Analyst,78795,113300
467032,DEPARTMENT OF TRANSPORTATION,19,PLUMBER,369.53,369.53
468473,DEPARTMENT OF TRANSPORTATION,19,OFFICE MANAGER - Brooklyn B/C Office,66322,90000
468476,NYC HOUSING AUTHORITY,13,Director of Public Housing Tenancy Operations,80931,208826
468504,DEPT OF HEALTH/MENTAL HYGIENE,2,Public Health Inspector,45722,52580
469360,NYC HOUSING AUTHORITY,13,Chief,58700,122000
469407,NYC HOUSING AUTHORITY,13,AGENCY ATTORNEY 03,79620,117000
469953,HRA/DEPT OF SOCIAL SERVICES,17,CONTRACT ANALYST,58152,71556
470441,NYC HOUSING AUTHORITY,13,Heating Oversight Team Specialist,67902,95679
470715,DEPT OF HEALTH/MENTAL HYGIENE,2,"Public Health Assistant, Bureau of Public Health Clinics",32135,48184
470722,DEPT OF HEALTH/MENTAL HYGIENE,2,"PATS Timekeeper Processor, Bureau of Controller",36390,50000
470731,NYC HOUSING AUTHORITY,13,Assistant Director,58700,161534
470996,DEPARTMENT OF TRANSPORTATION,19,Planner,65208,95993
471311,DEPARTMENT OF TRANSPORTATION,19,Community Coordinator,54100,83981
471391,TECHNOLOGY & INNOVATION,15,Telecommunications Billing Analyst,39237,47824
471785,NYC HOUSING AUTHORITY,13,Business Analyst,56013,84862
471796,DEPARTMENT OF TRANSPORTATION,19,Investigator - Employee Discipline,42304,64693
472464,DEPT OF HEALTH/MENTAL HYGIENE,2,"Public Health Navigator, Bureau of Maternal Infant and Reproductive Health",47155,55000
472648,DEPT OF HEALTH/MENTAL HYGIENE,2,"Supervising Nurse-New Family Home Visits Program, Bureau of Maternal Infant and Reproductive Health",58700,108000
472791,NYC HOUSING AUTHORITY,13,Economist,56013,84862
473084,DEPARTMENT OF TRANSPORTATION,19,Transportation Specialist - PM,57078,85646
473196,POLICE DEPARTMENT,7,Hostler,35956,40630
473688,OFFICE OF MANAGEMENT & BUDGET,14,Analyst  FINANCING POLICY & COORDINATION,46856,70291
473825,NYC HOUSING AUTHORITY,13,Financial Liaison,56013,84862
474023,HUMAN RIGHTS COMMISSION,16,Agency Attorney 2,71423,82137
474228,ADMIN FOR CHILDREN'S SVCS,5,Quality Assurance Specialist,54100,62215
474331,DEPARTMENT OF TRANSPORTATION,19,Machinist,298.24,347.2
475859,DEPARTMENT OF CORRECTION,12,Power BI Administrator,75000,145000
478562,DEPARTMENT OF TRANSPORTATION,19,Revenue Support Specialist,47418,69462
478951,HUMAN RIGHTS COMMISSION,16,Supervising Attorney-Gender Based Harassment Unit,95000,95000
479039,DEPARTMENT OF CORRECTION,12,RMAS Education Specialist,66442,76408
479554,DEPARTMENT OF CORRECTION,12,Senior BI Specialist,100000,140000
479577,DEPARTMENT OF CORRECTION,12,Senior WebSphere Administrator,100000,140000
481622,ADMIN FOR CHILDREN'S SVCS,5,Child Protective Manager,58700,102226
481936,ADMIN FOR CHILDREN'S SVCS,5,Investigative Consultant Level 2,61151,76912
482229,DEPARTMENT OF CORRECTION,12,Data Specialist,60132,69152
483154,NYC HOUSING AUTHORITY,13,Business Analyst,56013,84862
483286,NYC HOUSING AUTHORITY,13,ELEVATOR ADMINISTRATOR,64922,173486
483469,HRA/DEPT OF SOCIAL SERVICES,17,UNIT CLERK,36390,41848
483894,HRA/DEPT OF SOCIAL SERVICES,17,SENIOR PROJECT MANAGER,92194,119610
484251,HUMAN RIGHTS COMMISSION,16,Human Rights Specialist (Infoline),49371,56777
484261,HUMAN RIGHTS COMMISSION,16,Human Rights Specialist (SOI Unit),49371,56777
484513,HRA/DEPT OF SOCIAL SERVICES,17,CONTROL CLERK,36390,41848
484702,DEPT OF HEALTH/MENTAL HYGIENE,2,"Contract Specialist, Division Management & Systems Coordination",41525,70200
484759,HRA/DEPT OF SOCIAL SERVICES,17,Cash Assistance Customer Resolutions Unit Director,73029,107348
484842,DEPT OF HEALTH/MENTAL HYGIENE,2,"City Research Scientist II / NY Knows Project Officer, Bureau of Hepatitis, HIV, and STI",75504,94761
484977,FINANCIAL INFO SVCS AGENCY,18,FMS REPORTING and BUSINESS INTELLIGENCE ARCHITECT,0,100000
485230,DEPT OF HEALTH/MENTAL HYGIENE,2,"NFP Home Nurse Visitor,  Bureau of Maternal Infant and Reproductive Health",88780,88780
485398,DEPT OF HEALTH/MENTAL HYGIENE,2,"Principal Administrative Associate II / OTPS Specialist, Bureau of Facilities Planning and Administrative Services",65000,65000
485572,HRA/DEPT OF SOCIAL SERVICES,17,CASE MANAGEMENT TEAM LEADER,60793,69912
486001,ADMIN FOR CHILDREN'S SVCS,5,Eligibility Coordinator,53057,61015
486353,ADMIN FOR CHILDREN'S SVCS,5,Case Manager,54100,65415
486612,HRA/DEPT OF SOCIAL SERVICES,17,CASE MANAGEMENT TEAM LEADER,60793,69912
487160,DEPT OF HEALTH/MENTAL HYGIENE,2,"Supervising Public Health Advisor, Bureau of Tuberculosis Control",54270,67403
487171,DEPT OF HEALTH/MENTAL HYGIENE,2,"Fiscal Coordinator, Bureau of the Public Health Laboratory",56013,81000
487203,HRA/DEPT OF SOCIAL SERVICES,17,UNIT CLERK,36390,41848
487233,DEPT OF HEALTH/MENTAL HYGIENE,2,"Public Health Assistant, Bureau of School Health/SH Nursing Services & Prof Dev",17.57,20.21
489392,HUMAN RIGHTS COMMISSION,16,Supervising Attorney - SOI Unit,95000,95000
489428,DEPT OF HEALTH/MENTAL HYGIENE,2,Computer Associate (Software) I,66597,76587
490181,DEPT OF HEALTH/MENTAL HYGIENE,2,"Supervising Nurse, Bureau of School Health",84252,84252
490231,HUMAN RIGHTS COMMISSION,16,Agency Attorney I,63228,72712
490390,ADMIN FOR CHILDREN'S SVCS,5,Pre-Placement Staff Nurse,84744,84744
490590,HRA/DEPT OF SOCIAL SERVICES,17,SENIOR CYBER SECURITY ANALYST,78795,113300
490693,DEPARTMENT OF CORRECTION,12,Director of Contracts and Budget,76408,91234
491160,DEPT OF HEALTH/MENTAL HYGIENE,2,"Drop-In Center Program Manager, Bureau of Alcohol and Drug Use Prevention, Care and Treatment (BADUPCT)",75504,86830
492332,DEPARTMENT OF CORRECTION,12,Project Coordinator,65731,75591
493277,DEPARTMENT OF TRANSPORTATION,19,Safety & Equipment Training Specialist,56041,75318
494979,FIRE DEPARTMENT,20,Data Quality Analyst,84468,97138
495040,DEPT OF HEALTH/MENTAL HYGIENE,2,"Data Analyst, Center for Health Equity and Community Wellness",64140,70554
495351,OFFICE OF EMERGENCY MANAGEMENT,21,CERT OPERATIONS & ENGAGEMENT SPECIALIST,57500,69500
495776,ADMIN FOR CHILDREN'S SVCS,5,Family Enrichment Center Executive Director,94283,111175
495779,DEPARTMENT OF CORRECTION,12,Staff Nurse (Part-Time),40.5862,40.5862
495786,DEPARTMENT OF TRANSPORTATION,19,Senior IT Architect,0,140000
495980,ADMIN FOR CHILDREN'S SVCS,5,"Director, Training & Knowledge Management",84468,100501
496325,ADMIN FOR CHILDREN'S SVCS,5,FEC Program Manager,75504,88075
496363,FIRE DEPARTMENT,20,Deputy Medical Director,97830,199650
496464,DEPARTMENT OF TRANSPORTATION,19,Borough Planner (Bronx),54100,83981
496765,DEPT OF HEALTH/MENTAL HYGIENE,2,"Nutrition Incentives Program Manager,  Bureau of Chronic Disease Prevention",70806,87685
496932,HRA/DEPT OF SOCIAL SERVICES,17,LEAVE OF ABSENCE ASSISTANT,36390,41848
499165,DEPT OF HEALTH/MENTAL HYGIENE,2,Criminalist II,70349,70349
499219,DEPT OF HEALTH/MENTAL HYGIENE,2,Criminalist IV,97850,97850
499226,DEPT OF HEALTH/MENTAL HYGIENE,2,Criminalist (detailed to Assistant Director of Laboratory),98000,130000
499408,HRA/DEPT OF SOCIAL SERVICES,17,JOB CENTER DIRECTOR,78871,90702
499467,DEPT OF PARKS & RECREATION,22,Forester,59497,59497
499547,ADMIN FOR CHILDREN'S SVCS,5,Agency Attorney 1,72712,72712
499688,ADMIN FOR CHILDREN'S SVCS,5,Attorney Level 2,82137,82137
500106,NYC HOUSING AUTHORITY,13,Manager Collection Unit,58700,161534
500258,DEPT. OF HOMELESS SERVICES,23,PROGRAM ANALYST,70611,97873
500294,DEPARTMENT OF CORRECTION,12,Investigator,58167,58167
500485,DEPT OF ENVIRONMENT PROTECTION,6,Project/Construction Manager,67757,98128
500566,FINANCIAL INFO SVCS AGENCY,18,DOE BUSINESS ANALYST,75000,95000
500720,DEPT OF HEALTH/MENTAL HYGIENE,2,"Laboratory Microbiologist, Bureau of the Public Health Laboratory",56971,78074
501530,DEPT OF HEALTH/MENTAL HYGIENE,2,"Associate Laboratory Microbiologist, Bureau of the Public Health Laboratory",63962,70000
501537,DEPARTMENT OF CORRECTION,12,Application Security Administrator,75000,120000
501549,DEPARTMENT OF CORRECTION,12,Account Security Administrator,75000,120000
501897,HUMAN RIGHTS COMMISSION,16,Tester,15.5747,17.9109
502860,DEPARTMENT OF CORRECTION,12,EXTERMINATOR,34027,47967
503580,DEPT OF HEALTH/MENTAL HYGIENE,2,"Disease Investigation/Intervention Specialist, Bureau of Communicable Diseases",55473,68898
503612,NYC HOUSING AUTHORITY,13,PLASTERER,44.82,44.82
503641,NYC HOUSING AUTHORITY,13,PLASTERER (HOUSING AUTH-40 HRS/WK),44.82,44.82
503664,DEPARTMENT OF TRANSPORTATION,19,Ferry Facility Engineer,53702,148745
503725,OFFICE OF MANAGEMENT & BUDGET,14,Deputy Director of Management  Executive,222924,231974
504066,DEPARTMENT OF TRANSPORTATION,19,Project Manager - Weigh in Motion Network,74650,109409
504531,DEPARTMENT OF CORRECTION,12,Assistant General Counsel,79620,91563
504607,DEPT OF HEALTH/MENTAL HYGIENE,2,"Senior Contract Analyst, Bureau of Mental Hygiene Administration",60193,75000
505314,DEPARTMENT OF TRANSPORTATION,19,GIS and Program Analyst,65208,95993
505511,DEPT OF HEALTH/MENTAL HYGIENE,2,"Research Data Analyst, Bureau of Veterinary and Pest Control Services",75504,93776
506551,DEPT OF HEALTH/MENTAL HYGIENE,2,"Nurse Home Visitor, Bureau of Maternal Infant and Reproductive Health",88780,88780
506552,NYC HOUSING AUTHORITY,13,Interpreter/Translator,46231,69583
506805,DEPARTMENT OF TRANSPORTATION,19,Payroll Analyst,58695,89699
506838,DEPARTMENT OF TRANSPORTATION,19,Payroll Clerk,36390,58953
506854,DEPARTMENT OF TRANSPORTATION,19,Senior Timekeeper,60718,90773
507001,NYC HOUSING AUTHORITY,13,CARETAKER E - ELEVATOR DISPATCHER,31836,46278
507118,DEPT OF HEALTH/MENTAL HYGIENE,2,"Senior Contract Analyst, Bureau of Mental Health",60193,75000
507221,FIRE DEPARTMENT,20,Assistant Civil Engineer,57078,70891
507488,DEPT OF ENVIRONMENT PROTECTION,6,EHS/CRM Information Systems Manager,75000,160000
507554,FIRE DEPARTMENT,20,Front Desk Receptionist,40017,46019
507688,HRA/DEPT OF SOCIAL SERVICES,17,PEU OUTREACH SPECIALIST,38333,56707
507774,ADMIN FOR CHILDREN'S SVCS,5,Conference Facilitator,73027,87622
507992,FIRE DEPARTMENT,20,Accounts Payable Manager,66322,98830
508043,ADMIN FOR CHILDREN'S SVCS,5,Conference Facilitator,73027,83981
508258,DEPARTMENT OF CORRECTION,12,Agency Attorney,83158,95632
508375,DEPARTMENT OF TRANSPORTATION,19,Application Developer,75000,140000
508394,DEPARTMENT OF TRANSPORTATION,19,Information Security Engineer/Architect,75000,180000
508616,NYC HOUSING AUTHORITY,13,"Data Analyst, PNA",67757,100088
509095,DEPT OF HEALTH/MENTAL HYGIENE,2,"Public Health Advisor, Bureau of Public Health Clinics",47155,58566
